"","x","y","dist","tc","lstmax","ai","dist_tree"
"2755244",-54.7125211999983,-2.41925289166228,82.9571838378906,0.112430557608604,48.31303514,0.947056591510773,3116.43969726562
"2755245",-54.7119822108279,-2.41925289166228,82.9571838378906,0.112430557608604,48.46684604,0.947056591510773,3163.64721679688
"2755246",-54.7114432216574,-2.41925289166228,46.5109062194824,0.0865451395511627,47.71488164,0.901951193809509,3210.81860351562
"2755247",-54.7109042324869,-2.41925289166228,46.5109062194824,0.0865451395511627,48.02933948,0.901951193809509,3225.63720703125
"2755248",-54.7103652433165,-2.41925289166228,46.5109062194824,0.0865451395511627,48.0395935400001,0.937745273113251,3182.23876953125
"2755249",-54.709826254146,-2.41925289166228,127.481819152832,0.359340280294418,48.2891090000001,0.937745273113251,3133.59155273438
"2755250",-54.7092872649755,-2.41925289166228,127.481819152832,0.359340280294418,48.1352981,0.958489835262299,3085.34204101562
"2755251",-54.708748275805,-2.41925289166228,127.481819152832,0.359340280294418,48.10795394,0.958489835262299,3037.50903320312
"2755252",-54.7082092866346,-2.41925289166228,127.481819152832,0.359340280294418,48.11478998,0.924615383148193,2990.11279296875
"2755253",-54.7076702974641,-2.41925289166228,72.9362182617188,0.308090269565582,47.6225951,0.924615383148193,2943.17431640625
"2755254",-54.7071313082936,-2.41925289166228,72.9362182617188,0.308090269565582,47.18167052,0.94215339422226,2895.93969726562
"2755255",-54.7065923191232,-2.41925289166228,72.9362182617188,0.308090269565582,46.580099,0.94215339422226,2847.724609375
"2759454",-54.7432435827152,-2.41979188083276,130.035568237305,0.386302083730698,48.8530823,0.944618761539459,1433.58203125
"2759455",-54.7427045935448,-2.41979188083276,130.035568237305,0.386302083730698,46.85695862,0.977534711360931,1452.73193359375
"2759456",-54.7421656043743,-2.41979188083276,130.035568237305,0.386302083730698,46.98000734,0.977534711360931,1470.55651855469
"2759457",-54.7416266152038,-2.41979188083276,304.885803222656,0.476996541023254,47.33548142,0.947259783744812,1490.58044433594
"2759458",-54.7410876260333,-2.41979188083276,304.885803222656,0.476996541023254,46.89797486,0.947259783744812,1512.71643066406
"2759459",-54.7405486368629,-2.41979188083276,304.885803222656,0.476996541023254,45.74610212,0.981971025466919,1536.873046875
"2759460",-54.7400096476924,-2.41979188083276,304.885803222656,0.476996541023254,43.9653137,0.981971025466919,1562.95666503906
"2759461",-54.7394706585219,-2.41979188083276,259.958740234375,0.325468748807907,44.91210524,0.993359446525574,1590.81555175781
"2759462",-54.7389316693515,-2.41979188083276,259.958740234375,0.325468748807907,46.48781246,0.993359446525574,1610.05187988281
"2759463",-54.738392680181,-2.41979188083276,259.958740234375,0.325468748807907,48.31303514,0.997838139533997,1608.63427734375
"2759464",-54.7378536910105,-2.41979188083276,38.7637710571289,0.0652951374650002,48.93511478,0.997838139533997,1605.83935546875
"2759465",-54.73731470184,-2.41979188083276,38.7637710571289,0.0652951374650002,48.7505417,0.932215631008148,1605.06994628906
"2759466",-54.7367757126696,-2.41979188083276,38.7637710571289,0.0652951374650002,48.5830587200001,0.932215631008148,1605.83935546875
"2759467",-54.7362367234991,-2.41979188083276,38.7637710571289,0.0652951374650002,48.4087397,0.637362658977509,1608.63427734375
"2759468",-54.7356977343286,-2.41979188083276,116.703369140625,0.291875004768372,48.36772346,0.637362658977509,1613.65270996094
"2759469",-54.7351587451582,-2.41979188083276,116.703369140625,0.291875004768372,47.97806918,0.986348271369934,1620.87414550781
"2759470",-54.7346197559877,-2.41979188083276,116.703369140625,0.291875004768372,47.0415317,0.986348271369934,1630.26940917969
"2759471",-54.7340807668172,-2.41979188083276,108.182266235352,0.384913206100464,46.48097642,0.98399144411087,1638.56066894531
"2759472",-54.7335417776467,-2.41979188083276,108.182266235352,0.384913206100464,46.19044472,0.98399144411087,1649.18811035156
